"","colnames.GB11_counts.","type","exp.des_GB11"
"1","GB11.CT.1","GSC","Ctrl"
"2","GB11.CT.2","GSC","Ctrl"
"3","GB11.H7.1","GSC","Kd"
"4","GB11.H7.2","GSC","Kd"
