"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZNF84",761.643403728244,0.654304693357793,0.100561068754554,6.50654076633568,7.69010408201232e-11,4.66973314133484e-09
"CLASP2",1117.01359296875,0.254490424335805,0.0933841681392215,2.72519881481836,0.00642627776010361,0.0478970611969168
"POM121C",2142.85110508859,0.206246677666356,0.0667184128205005,3.09130072115538,0.00199281696681976,0.0186083984316811
"PPM1L",503.411103511352,0.558128725352313,0.125011626242095,4.46461454930162,8.02130252398501e-06,0.000170375219704729
"TBCB",864.805464498965,-0.299219842426245,0.100915969486713,-2.96503956656377,0.00302644002405239,0.0262309136235294
"SYNE1",2840.76366852707,0.256327468413616,0.0604218476814769,4.2422977490673,2.21242895802427e-05,0.00041791263027718
"TMEM30A",1459.45149427771,-0.497284390084288,0.0845448755491259,-5.8818986586045,4.05586662525876e-09,1.74543338507875e-07
"POU2F1",2030.73944287069,0.191311113894651,0.0706553618617116,2.70766589900268,0.00677581960138936,0.0499754563446736
"ICK",673.8172475555,0.356693855106806,0.108045764328462,3.30132196596294,0.000962303850805918,0.010308315492724
"GNG2",1810.77044934689,0.20543160000172,0.0708498065372957,2.89953649899637,0.00373714832025814,0.0309801457905486
"FKTN",1217.4209848933,0.29952630767694,0.0995933758524546,3.0074922665608,0.00263412826732466,0.0234127724407578
"POFUT2",1538.96280654668,-0.259823750111952,0.0841806574369825,-3.08650179296183,0.00202526725209555,0.0188757959145403
"RPL27",6828.00623909749,-0.155062888622017,0.0547177438228338,-2.83386846365747,0.00459882570258423,0.0369473837696256
"KPNA6",2905.64554985389,-0.192357819708214,0.0647023125935379,-2.97296668384346,0.00294936463217529,0.0256302117026084
"EPRS",2530.62174393277,0.217491603698982,0.062789973019053,3.46379514501442,0.000532611950753688,0.00625360983221828
"ATP2B1",2413.54985540845,0.569516129157413,0.078070567402447,7.29488907415783,2.98905239057188e-13,2.95856405618804e-11
"SCARB2",2876.74527332093,-0.378600467748749,0.0607155247941488,-6.23564515059969,4.49919944743364e-10,2.38144792142771e-08
"SNRPB",2503.85856412182,-0.346673713247891,0.0646175766388889,-5.3650064159053,8.09463419286276e-08,2.85127007974931e-06
