"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EIF3H",3265.12741380323,0.598615709324121,0.178534380166369,3.35294361100811,0.000799569948009109,0.00249107439263272
"ZNF546",125.404565576518,1.98306920050288,0.355501144485128,5.57823577016878,2.42970192898831e-08,2.10334371069364e-07
"ZNF84",667.72622613727,1.90749461439412,0.229647706917728,8.3061774924558,9.88343611791765e-17,5.75448533500876e-14
"DENR",1314.72583056628,0.748299336846944,0.18922839456641,3.95447701472904,7.67022448765927e-05,0.000303679527915406
"CLASP2",906.984394275192,1.70378737168207,0.232497359624272,7.32820095004726,2.33262781586592e-13,1.51897040272637e-11
"CLIC4",7033.6859897963,1.50215770932779,0.211690546083976,7.09600753135142,1.2841248286425e-12,5.35503964327701e-11
"ATG4C",148.304892729137,1.68820395778639,0.305899670411413,5.5188158768392,3.41291552207648e-08,2.85795582381667e-07
"MRPS31",219.008559076626,0.900779636010268,0.268701064625545,3.35234859327994,0.000801290563474692,0.00249486442191649
"UHRF2",544.101658336017,1.0452900898918,0.226839409656847,4.60806211527826,4.06439256217871e-06,2.1274118233974e-05
"TOP2A",5131.74033220109,1.4630576749769,0.211824221365169,6.90694230125223,4.95211226808714e-12,1.56410159104018e-10
"LNX2",141.232919140043,0.963810096056314,0.297814280289879,3.236278982721,0.00121098965150343,0.00360709466463465
"PPM1L",221.156195052974,1.46845431183142,0.276215409110801,5.31633740694881,1.05876742973207e-07,7.90322776733637e-07
"TBCB",985.921809161381,-0.968845861401002,0.204255274676268,-4.74330889587337,2.10255289011814e-06,1.16327940225765e-05
"FAIM2",320.827803856271,-0.990846473140684,0.252973305648653,-3.91680248870543,8.97312059380575e-05,0.000350497030929318
"MID1",2286.67901148401,0.691582905737857,0.196973059128622,3.51105328209508,0.000446334927795118,0.00148448357369492
"SYNE1",2339.71812046488,1.65242218124168,0.244238908114469,6.7655976437105,1.32760022003726e-11,3.42847009919888e-10
"TMEM30A",972.264845090632,1.12653109688661,0.227212858195718,4.95804289348901,7.12068444567388e-07,4.39404829446883e-06
"POU2F1",1141.47902175929,1.4770976985688,0.26413456418745,5.59221661546929,2.24188876118296e-08,1.96373583700787e-07
"PGM2",114.806046668827,1.42084384248981,0.362860078898058,3.91567969340872,9.01498701492549e-05,0.000351993457490069
"ESS2",238.169908379025,-0.84240298335132,0.257902279874951,-3.26636501142904,0.00108937731721125,0.00329040484765241
