"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TBCB",864.805464498965,-0.299219842426245,0.100915969486713,-2.96503956656377,0.00302644002405239,0.0262309136235294
"TMEM30A",1459.45149427771,-0.497284390084288,0.0845448755491259,-5.8818986586045,4.05586662525876e-09,1.74543338507875e-07
"POFUT2",1538.96280654668,-0.259823750111952,0.0841806574369825,-3.08650179296183,0.00202526725209555,0.0188757959145403
"RPL27",6828.00623909749,-0.155062888622017,0.0547177438228338,-2.83386846365747,0.00459882570258423,0.0369473837696256
"KPNA6",2905.64554985389,-0.192357819708214,0.0647023125935379,-2.97296668384346,0.00294936463217529,0.0256302117026084
"SCARB2",2876.74527332093,-0.378600467748749,0.0607155247941488,-6.23564515059969,4.49919944743364e-10,2.38144792142771e-08
"SNRPB",2503.85856412182,-0.346673713247891,0.0646175766388889,-5.3650064159053,8.09463419286276e-08,2.85127007974931e-06
"RRAS2",656.695983921151,-0.606526683086244,0.11251126930106,-5.3908082883972,7.0141472479378e-08,2.48838815269134e-06
"CENPN",1234.50656178219,-0.457899551115978,0.083590704292596,-5.47787645756845,4.30460494505334e-08,1.5898126770947e-06
"ARL4C",1038.35535033125,-0.514538481311992,0.0914392062278118,-5.62711010450015,1.83253764346372e-08,7.16935082806477e-07
"CLCN4",613.732540719081,-0.303889270625823,0.111568771504349,-2.72378432179813,0.00645386376254626,0.0480664736807245
"BCL7B",439.030376282026,-0.468449592762836,0.130300532979849,-3.59514717284605,0.000324208245619521,0.00409835659660539
"HADH",1082.28768066269,-0.265042855769394,0.0908751808014125,-2.91655932271085,0.00353915413847241,0.0297373070140916
"PTMA",4469.92873386089,-0.322888300571567,0.0534939942750108,-6.03597291523249,1.58007756306819e-09,7.59204258215966e-08
"SLC7A1",2475.71314007516,-0.6614107677649,0.06359630023877,-10.4001453745211,2.47555228368755e-25,9.21567840368255e-23
"ANP32B",1641.22079804795,-0.243442160305258,0.0782592378844482,-3.11071468220412,0.00186635175086563,0.0176607549044627
"GID4",312.581715512647,-0.534378987511538,0.152348862195589,-3.5076007776513,0.000452167052272392,0.00548474201396095
"FEN1",1014.12792174026,-0.379024573847234,0.090411058730779,-4.1922368697824,2.76217370660319e-05,0.000508178352192535
"RAB1B",2697.79995582513,-0.379017837252473,0.0659455541286475,-5.74743577881051,9.06069958083733e-09,3.6906503889353e-07
"CDC45",390.472557258303,-0.564084744778003,0.136631016298732,-4.12852630433986,3.65095678449693e-05,0.000645306611659832
"DTYMK",584.586979508295,-0.442718748363526,0.11411345910588,-3.87963656375317,0.000104612654761971,0.00159056229928416
"GEM",3060.39288843776,-0.296868809110791,0.0638105287487789,-4.65234836526052,3.2817604878696e-06,7.7524738207478e-05
"EIF2S3",2897.48426617513,-0.209104331829899,0.0604700531455213,-3.4579816116035,0.000544238529495227,0.0063599444686467
"UHRF1",510.131391475224,-0.522291926163371,0.127674464926323,-4.09080959504916,4.29869949157747e-05,0.000741263546474456
"GPBP1L1",1169.84994249029,-0.298659935709691,0.0843301467316901,-3.54155598305699,0.000397774438755141,0.00488482803324862
