"","x"
"324","PGAP1"
"325","CFAP44"
"326","PNN"
"327","CDH2"
"328","AURKB"
"329","PDP1"
"330","LIN7A"
"331","REL"
"332","NCOA2"
"333","RPL8"
"334","KLHL11"
"335","RBL1"
"336","FZD3"
"337","DST"
"338","CDCA8"
"339","PLK1"
"340","CCDC66"
"341","U2SURP"
"342","MAPK6"
"343","HECTD2"
"344","NCAPD3"
"345","SEC24A"
"346","COG5"
"347","MTREX"
"348","BRWD3"
"349","ERGIC1"
"350","PTTG1"
"351","ANKRD50"
"352","DDX58"
"353","HJURP"
"354","UTRN"
"355","MECOM"
"356","PSD3"
"357","SDC1"
"358","TANC1"
"359","SENP7"
"360","SESN3"
"361","MLLT3"
"362","MARCH7"
"363","ZC3H15"
"364","PTPN13"
"365","TSPAN14"
"366","LGR4"
"367","SREK1"
"368","GJA1"
"369","ARID4B"
"370","GPI"
"371","CCDC85B"
"372","EMC2"
"373","MCM7"
"374","STIP1"
"375","VBP1"
"376","DNAJB14"
"377","PHIP"
"378","MRTO4"
"379","C5orf51"
"380","PPIP5K2"
"381","UBN2"
"382","B4GALNT1"
"383","RAB3GAP1"
"384","ZNF652"
"385","TUT7"
"386","KIF18A"
"387","ST8SIA4"
"388","FSD1L"
"389","LZTFL1"
"390","SEMA5A"
"391","KIF14"
"392","USO1"
"393","WDR35"
"394","MIA3"
"395","H2AFZ"
"396","ANKMY2"
"397","LRRC58"
"398","WDR1"
"399","TIMELESS"
"400","LMNB2"
"401","RANBP1"
"402","AMOTL2"
"403","GPBP1"
"404","NQO1"
"405","PIK3R1"
"406","RPL35"
"407","LAMA2"
"408","KIF22"
"409","CHAF1A"
"410","TYMS"
"411","ARL5A"
"412","CDK4"
"413","SCARA3"
"414","SLC25A5"
"415","ZWINT"
"416","ERGIC2"
"417","CBX6"
"418","RCC1"
"419","ANKRD36C"
"420","ANKRD12"
"421","RANGAP1"
"422","SRPX"
"423","LDLR"
"424","PARP9"
"425","HIPK3"
"426","AURKA"
"427","COL5A1"
"428","HDAC9"
"429","CPLANE1"
"430","SH3BGRL"
"431","PCDH18"
"432","NIN"
"433","VPS13A"
"434","OXR1"
"435","H2AFY"
"436","PPM1L"
"437","TRPS1"
"438","TWISTNB"
"439","SMCHD1"
"440","PSMC3"
"441","ICAM1"
"442","RAN"
"443","COPS2"
"444","GTSE1"
"445","DHX36"
"446","IFIT1"
"447","RAD23B"
"448","TUBB"
"449","INCENP"
"450","ANGPT1"
"451","USP8"
"452","CMYA5"
"453","SYNE3"
"454","RFLNB"
"455","TRIM2"
"456","PSMA7"
"457","SESTD1"
"458","GABPA"
"459","MYH9"
"460","EIF5B"
"461","TMTC2"
"462","KLF12"
"463","HSPB1"
"464","NCLN"
"465","CALM3"
"466","TACC3"
"467","CSDE1"
"468","ACADM"
"469","MATN2"
"470","KRIT1"
"471","FCHO2"
"472","IFIT2"
"473","BUB1"
"474","RLF"
"475","ANLN"
"476","DMXL2"
"477","VPS13B"
"478","DPP9"
"479","TRPM7"
"480","TGFBR1"
"481","TMPO"
"482","UPF1"
"483","TP53INP1"
"484","CRYBG3"
"485","IER5L"
"486","MGP"
"487","ZBTB41"
"488","NBEA"
"489","TCF4"
"490","HNRNPAB"
"491","NEURL1B"
"492","RB1CC1"
"493","THY1"
"494","WWP1"
"495","NEDD4"
"496","BTBD3"
"497","MME"
"498","TMEM245"
"499","POLE"
"500","B3GAT3"
"501","SIPA1L1"
"502","WDR34"
"503","COX5A"
"504","SURF4"
"505","RNF38"
"506","LSM4"
"507","RSF1"
"508","PNPLA8"
"509","BMPR2"
"510","GALNT2"
"511","TMEM201"
"512","S100A6"
"513","PTBP1"
"514","SAE1"
"515","SRFBP1"
"516","YAP1"
"517","POC1A"
"518","CDC45"
"519","MCM4"
"520","ZNF33A"
"521","HNRNPH1"
"522","CHD1"
"523","CEBPZ"
"524","ZNF721"
"525","RPN2"
"526","N4BP2"
"527","NOTCH1"
"528","PCBP1"
"529","RPAP3"
"530","TNRC6B"
"531","SYT14"
"532","ODR4"
"533","MYBL2"
"534","IFI6"
"535","BNIP3L"
"536","TUBB4B"
"537","ZNF267"
"538","UBR3"
"539","KIF2C"
"540","CALD1"
"541","MEF2C"
"542","RRM2"
"543","PIP4K2C"
"544","RBBP6"
"545","PLOD2"
"546","PHF20L1"
"547","TBC1D32"
"548","GOLIM4"
"549","SYNM"
"550","ZNF441"
"551","KLHL13"
"552","PKMYT1"
"553","SOX5"
"554","SOCS6"
"555","RANBP2"
"556","PAM"
"557","DPY19L4"
"558","NFE2L2"
"559","TENT5A"
"560","MON2"
"561","FAM135A"
"562","SAMD9L"
"563","ACTG1"
"564","ZNF518A"
"565","CALCRL"
"566","TBC1D15"
"567","RFC3"
"568","EFR3A"
"569","CKS1B"
"570","ESPL1"
"571","ZNF678"
"572","UBE2H"
"573","DOCK10"
"574","SLC1A3"
"575","STARD4"
"576","ATP11C"
"577","STAT1"
"578","R3HDM4"
"579","SLC25A22"
"580","ITGAV"
"581","HAUS6"
"582","ATXN1"
"583","ITPR1"
"584","SYCP2"
"585","NUSAP1"
"586","ZNF92"
"587","N4BP2L2"
"588","PLCB1"
"589","YES1"
"590","TMEM47"
"591","NRCAM"
"592","RBAK"
"593","GSN"
"594","CCT7"
"595","ZNF37A"
"596","RNASEH2A"
"597","LOXL2"
"598","CCDC191"
"599","LRRC40"
"600","RNF6"
"601","ZNF84"
"602","ELAVL3"
"603","ZBTB11"
"604","SATB1"
"605","PLCB4"
"606","CENPO"
"607","SAMD9"
"608","COG6"
"609","FAM83D"
"610","PPIL4"
"611","KMT5A"
"612","PRUNE2"
"613","CHORDC1"
"614","HMGA2"
"615","PMAIP1"
"616","CWF19L2"
"617","ANK2"
"618","HDAC7"
"619","DNAJC2"
"620","KIFAP3"
"621","UBE2S"
"622","ENO1"
"623","TTC37"
"624","ZNF395"
"625","SOX6"
"626","NUP50"
"627","LMLN"
"628","RACGAP1"
"629","PLAG1"
"630","DHFR"
"631","ZFYVE16"
"632","SEC23A"
"633","C12orf75"
"634","PIKFYVE"
"635","TMEM167A"
"636","PMEPA1"
"637","OGN"
"638","RFWD3"
"639","INO80D"
"640","RAB8B"
"641","FAM122B"
"642","GINS4"
"643","SPARCL1"
"644","PTTG1IP"
"645","KRR1"
"646","UGP2"
"647","MATR3"
"648","MEST"
"649","SACS"
"650","LRBA"
"651","FGF2"
"652","IFI44"
"653","RBM39"
