"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HS1BP3",309.987274438328,-0.622833129058445,0.245225882566485,-2.53983438672949,0.0110904971291256,0.0239890167360326
"TMEM205",336.886313662307,-0.612291307080954,0.230639670244239,-2.65475278573092,0.0079366549167769,0.0180965239268044
"TBCB",985.921809161381,-0.968845861401002,0.204255274676268,-4.74330889587337,2.10255289011814e-06,1.16327940225765e-05
"FAIM2",320.827803856271,-0.990846473140684,0.252973305648653,-3.91680248870543,8.97312059380575e-05,0.000350497030929318
"FLYWCH1",764.029152015616,-0.478682695181518,0.210381206718478,-2.27531110144295,0.0228872739533793,0.0441079123034556
"ESS2",238.169908379025,-0.84240298335132,0.257902279874951,-3.26636501142904,0.00108937731721125,0.00329040484765241
"DYNLRB1",2991.03064814216,-0.493433728693514,0.182378166593458,-2.70555263225908,0.00681908413503463,0.015945025931626
"UBA52",9632.57118983199,-0.443975595567803,0.18049754866384,-2.45973199555561,0.0139040801343746,0.0290037060421581
"POFUT2",1882.29010302452,-0.529978267936476,0.193604182922119,-2.73743190842973,0.00619209372648786,0.0147019956178515
"RPL27",9440.85972307225,-0.440151938833465,0.170999420796357,-2.57399666492228,0.0100531242270161,0.0220041479628964
"TMEM147",639.145216105446,-0.549899687338996,0.211959184398295,-2.59436593370576,0.00947655643731467,0.0209888018833163
"WDR13",558.756094084254,-0.535798720572568,0.225199813164964,-2.37921476506769,0.0173495644261845,0.0349605025835453
"PSMG3",305.245489471526,-0.867700229807937,0.251489168217059,-3.45024891513033,0.000560069887666696,0.00182054901416255
"SIRT6",243.09043608475,-0.970396522979574,0.283944216863393,-3.4175604409173,0.000631850628140717,0.00202593376007024
"PSMB6",1693.95159591273,-0.749101692052518,0.194806616653413,-3.84536061927132,0.000120375273619068,0.00045790717074617
"ATAD3B",203.412839628743,-0.640004022124058,0.282249931859593,-2.26750815458985,0.0233592013216584,0.0448514790847285
"SNRPB",2919.20535752803,-1.07410501820998,0.189986024255363,-5.65360016569564,1.57121476419132e-08,1.45616888913537e-07
"MYO1C",2932.42057233853,-0.562463179197062,0.184126756864947,-3.05476069189453,0.00225240167322024,0.00621559794458386
"DOHH",97.0406799446491,-0.909283298816351,0.33776548963375,-2.69205506993126,0.00710132183154232,0.0164775121773949
"CAPG",2059.06561270092,-0.777092924965625,0.19830104241174,-3.91875360570278,8.90080455058388e-05,0.00034794693302401
"SHISA4",267.765925248367,-0.553505520809012,0.245527229546955,-2.25435493175375,0.0241738481306915,0.046191650347024
"CD63",10701.2343234399,-0.581243149545374,0.190612355598163,-3.04934665815008,0.00229339677898639,0.00631082605460308
"UBL5",1294.16830389069,-0.496163563887194,0.192361862369081,-2.57932397709486,0.00989938955339654,0.0217452636039767
"FCGRT",827.191852135932,-0.57687442746684,0.213693686723892,-2.69953893496257,0.00694356304691339,0.0161901971821787
"ST3GAL4",530.234416925065,-0.737218161457832,0.220260475086318,-3.34702883560441,0.000816827131745536,0.00253765064344548
"CENPN",918.134700529022,-0.426475393191405,0.191136258742734,-2.23126368589978,0.0256636676161867,0.0484214605537583
"EIF4G1",6092.55493016197,-0.529957353352118,0.188361758599173,-2.81350820513333,0.00490041355253655,0.0120149351852878
"SQSTM1",18299.9790103147,-0.657832398463485,0.181295007650298,-3.62851910259098,0.000285051661280377,0.000995568575636264
"ATP6AP1",1668.80925923203,-0.41649344073709,0.1836449701184,-2.26792729726585,0.0233336382649244,0.044811088774975
