"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ATG4B",1723.42094807423,-0.9450635478092,0.218979138616431,-4.31576977505877,1.59047677743191e-05,6.60212664407809e-05
"AVL9",14101.1520428681,-1.00860557155482,0.167253268357214,-6.03040874155402,1.63545503412489e-09,1.4576023826009e-08
"SNX4",1988.09816755923,-0.475819874886909,0.192140315315801,-2.47641872610052,0.0132707835646735,0.0274842924290267
"FOXJ2",5648.37635682638,-0.515028251959307,0.174415463856825,-2.95288181776179,0.00314822466281028,0.00775280663994414
"TIAM1",4874.76209570709,-0.68032856088464,0.250416067660237,-2.71679276510206,0.00659178672915384,0.0148809428013639
"ZBTB21",10226.3485726789,-1.38867940585393,0.166365531042224,-8.34715819529633,6.99250318420325e-17,2.04548026314144e-15
"SRRM1",11222.6243442425,-1.31204041875345,0.17547536954783,-7.47706314643678,7.60019012239415e-14,1.39038772239093e-12
"HAT1",1442.63910273717,-0.774083307503888,0.200354424276712,-3.86356982281955,0.000111741933697601,0.000384556252894073
"SLC35G2",834.424963973808,-0.904816825368859,0.261187961381707,-3.46423633226547,0.000531739129410733,0.0015659339724336
"VRK1",544.483709454448,-1.42150953366192,0.26204929415536,-5.42458829451818,5.80882712460209e-08,3.92727225163315e-07
"SMG5",3489.83553314615,-0.674124421641437,0.199424728218087,-3.38034519422399,0.000723948440731819,0.00205614579970407
"SUDS3",2207.34326515937,-0.463073726088414,0.203527083371845,-2.27524375830796,0.0228913112120869,0.0441464614726572
"ITPRIP",2729.97308559292,-1.01965894005189,0.230921028084424,-4.41561753171785,1.00722035355903e-05,4.35236156878669e-05
"MED15",2700.37671139839,-0.860341681542112,0.196318059043864,-4.38238685596358,1.17386131351473e-05,4.99789941505068e-05
"ARHGEF2",8312.57048004738,-1.01484402671263,0.169012020869449,-6.00456713961506,1.9184301825252e-09,1.68314832198091e-08
"BRAF",17265.5849501281,-0.669885850814049,0.168747759618504,-3.96974663443526,7.19490981158995e-05,0.000259949385977897
"NOTCH3",802.459196800608,-0.840379530261391,0.231194916594699,-3.63493948153988,0.000278045897698683,0.000879771464257841
"TMEM200C",1670.56115335989,-0.864528192899867,0.221040873911341,-3.91116890556009,9.1850507369213e-05,0.000323241218321928
"ROBO4",89.6361908657619,-1.26177118067659,0.540458956083518,-2.33462905272237,0.0195628074744,0.0384873079294922
"RASL10B",109.230315954058,-1.18885895324919,0.456933840728486,-2.60181857258329,0.00927308945618067,0.0200529498981049
"MRPL58",801.742951715639,-1.27190062767193,0.248074023162803,-5.12710122348129,2.94237338024956e-07,1.75002358368341e-06
"CHRNA5",137.346635830775,-0.973899375141018,0.412611562117021,-2.36032982242221,0.0182586934935135,0.0362779488410126
"AMDHD2",364.96623630609,-0.986417046409853,0.278832641723652,-3.53766704038719,0.00040367875516215,0.00122639473740521
"OSGIN2",7535.56078808139,-1.97156690485636,0.253288091421269,-7.78389103804035,7.03273343250652e-15,1.49215159255587e-13
"ECT2",4935.50459056903,-1.19902373814728,0.183243486234525,-6.54333620684723,6.01613702860829e-11,6.79070748845204e-10
"ILF3",9752.90616277255,-0.845091015512323,0.170467184734868,-4.95749969019969,7.14061561590952e-07,3.93519597516697e-06
"MTOR",7609.22665508269,-1.26057243817261,0.182142582259577,-6.92080030125043,4.49099207635851e-12,6.24043943280935e-11
"PRMT3",996.447436202158,-0.905938632638186,0.214444582941887,-4.22458156886011,2.39385137065156e-05,9.59651814734063e-05
"LEMD3",2453.787640574,-0.421449106054374,0.189909927019498,-2.21920524465845,0.0264727644353245,0.0499130711704954
"EPC2",2529.24486110805,-0.787839727085617,0.186753495774277,-4.21860765614718,2.45815594043024e-05,9.82098948749309e-05
"SRBD1",1832.61400992141,-1.33488936768576,0.198504414961812,-6.72473389542781,1.75913631939184e-11,2.19610023474683e-10
"MAU2",4224.58671122629,-0.563043287667264,0.195753437059486,-2.87628813125853,0.00402382223108295,0.00962037854075225
"CSF1",4589.41524642333,-0.748565026784442,0.182385112201209,-4.10430992831595,4.05523517430392e-05,0.000154695833731194
"ATL2",3326.52929724469,-0.591010351698354,0.19459899703285,-3.03706782002883,0.00238891700110532,0.00606492397831637
"ZNF829",949.027584405092,-0.875761189169421,0.215652107869505,-4.06099062894095,4.88649330928915e-05,0.000183387036929753
"GPATCH3",319.843846734423,-1.1255205004967,0.359160806571088,-3.13375089905288,0.00172587300915782,0.00453756779137422
"GEN1",1759.36049842889,-1.15842166962607,0.194814708787145,-5.94627416398916,2.74314551949954e-09,2.34916621372794e-08
"HIST1H2BF",1599.07528100065,-1.32767988294159,0.195495664035985,-6.79135207161018,1.1108745377807e-11,1.42699079211873e-10
"RSPRY1",7491.76569374656,-0.468679533938362,0.180980174193782,-2.58967334972575,0.00960670409674358,0.0206948649317017
"KLF7",1496.65206123261,-0.807928311892335,0.22227508636205,-3.63481272289936,0.000278182638422408,0.000879968528071739
"VAMP4",2074.26985621686,-0.573608432420844,0.190768872879474,-3.0068240366616,0.0026399252699626,0.00662813614625409
"RNF111",6764.64563897563,-0.93315524475306,0.177505951509074,-5.25703638001881,1.46395361231055e-07,9.15881619390478e-07
"HIST1H3F",1292.12843062876,-2.50304657866044,0.23701238174389,-10.5608262329736,4.52659811406186e-26,3.93348062588111e-24
"CENPH",460.470535641178,-1.55307874630442,0.264766696682597,-5.86583873940254,4.46867950904786e-09,3.6674204470783e-08
"ZNF430",419.525492360713,-1.0057216811367,0.269211746224102,-3.73580163288827,0.000187118134504149,0.000613415288091549
"EWSR1",2699.75070757521,-0.549228356246432,0.182608070045342,-3.00768939790041,0.00263242034509993,0.00661069775571418
"SLC9A8",5540.11500780902,-1.49829024839937,0.195848030797766,-7.65026966212656,2.00558283439549e-14,3.99696086625395e-13
"FXR2",2017.02733537171,-1.47333169258595,0.214680014586453,-6.86291965940143,6.74671750036294e-12,9.01953703838114e-11
"TMEM126B",2883.34807287666,-0.559459497228071,0.212443907211406,-2.63344571549113,0.00845233458965476,0.0184673119209725
"UBXN1",1234.12742632382,-1.21120611508878,0.236855093413728,-5.11370094529947,3.15907357512539e-07,1.87137501307428e-06
"SLC26A11",2039.46032418129,-0.527380859614431,0.224419557086935,-2.34997727675817,0.0187745571796971,0.0371654466917353
"CDK5RAP1",421.420997150754,-0.701033407483161,0.275909623727191,-2.5408081023528,0.0110596602254751,0.0233983287763452
"PAPOLG",2428.39963609048,-0.809851887425908,0.185132720103777,-4.37443952085802,1.2174486897228e-05,5.16617903595838e-05
"TNFRSF12A",1759.79422961201,-3.36944146096224,0.310752978844032,-10.8428291612721,2.1569560922864e-27,2.10668653707774e-25
"SRC",1877.80144466618,-0.728392940846616,0.213611840089152,-3.40989029701077,0.000649890149302872,0.00187007591537895
"TUBA1C",11347.3061867255,-0.490878661536836,0.172031983378263,-2.85341511442959,0.00432520813945277,0.0102641184321391
"THOC6",605.190097496976,-1.47309266818229,0.283674197019944,-5.19290328009185,2.07039757113099e-07,1.2547671023398e-06
"KDM6B",10083.3267023275,-2.51450429515336,0.207359882461862,-12.1262814450902,7.66517395064182e-34,1.33216214336301e-31
"GAS2L3",2939.14196818547,-0.853222736130944,0.207517265395709,-4.11157468996113,3.92969704868052e-05,0.000150489824113112
"PWWP2B",154.151770195888,-2.0360242971068,0.428995211840379,-4.74603035398065,2.07447594659081e-06,1.03451774275496e-05
"CLDN15",1764.05696059796,-0.534968243878827,0.224480060753967,-2.38314370586865,0.0171654919582413,0.0343717017896469
"CCNA2",1398.7092639997,-0.707893577127396,0.236542076686763,-2.99267507516141,0.00276544000637964,0.00691974804052394
"SF3A2",1154.7521364282,-0.928833622804396,0.248083086615089,-3.74404251203759,0.000181082993902539,0.000597088735194644
"CEP57",2689.99525388374,-0.791160519136684,0.185810793087357,-4.25788247276212,2.06372388098431e-05,8.35131849006629e-05
"UBA2",6002.35852231224,-0.961560631179154,0.175826157163391,-5.46881446248978,4.53055692810925e-08,3.1421432967368e-07
"CELSR3",5177.0222326899,-1.83648615202109,0.181011265372979,-10.145700866943,3.46283735226672e-24,2.39320537012211e-22
"SERPINE1",3027.59997393327,-2.83770686760802,0.809282052533854,-3.50644977078534,0.000454127138582416,0.00136215089435711
"USP19",4444.47925971945,-1.03473337383086,0.199221357441772,-5.19388777949317,2.05947310586663e-07,1.24942778055092e-06
"SARS",7583.89748426065,-0.985338137352027,0.173602261605566,-5.67583698644876,1.38012160369776e-08,1.05026980399155e-07
"SMC1A",5181.47376890625,-0.776451411645504,0.177726281716963,-4.36880468180861,1.24928434060264e-05,5.28798077981446e-05
"FBXO10",365.545346023214,-0.925350772059119,0.301473462528348,-3.06942695485878,0.00214469844844932,0.00550460317267193
"NSFL1C",3353.18574969231,-0.565839592341006,0.191780436074537,-2.95045523893317,0.00317306017678172,0.00780835058255681
"TIMM17A",885.396523266736,-0.939912230513863,0.241712711574438,-3.88855110015348,0.00010084443993723,0.000351039643940556
"PNP",478.662362935009,-1.48538604479064,0.301803864143941,-4.9216932626224,8.57986165995486e-07,4.64271085610561e-06
"PHKG2",514.676063271849,-0.911192660314315,0.308995653783254,-2.94888503821311,0.00318922586868134,0.00783907473296092
"PPP4R1",7023.41362151175,-0.645075302090208,0.171261941249052,-3.76660043314662,0.000165485530484338,0.000549403892413415
"AGFG1",8157.15608445905,-0.45631690827841,0.184254789271727,-2.47655385285787,0.0132657610549107,0.0274842924290267
"PSMD2",11776.3444174915,-0.677737517489307,0.177744852355754,-3.81297972068875,0.000137301382290704,0.000462814528212077
"DDX47",4045.6132785641,-0.671387406367455,0.179595961826134,-3.73832128262117,0.000185253112067215,0.000608243299250759
"BLM",393.331568887898,-1.70796142939594,0.279750665440176,-6.10529889789013,1.02608475956842e-09,9.45149624986715e-09
"KCNJ14",170.166465650098,-1.85467233151247,0.388818689524268,-4.77001847257322,1.84209025763392e-06,9.26375432541179e-06
"VGF",235.748649087944,-4.33483559115749,0.449562464460933,-9.64234324223521,5.29648965619061e-22,2.89786642392873e-20
"ZBTB7B",752.026105518707,-0.767686226198723,0.253638276956428,-3.02669705618053,0.00247241609316865,0.00624738366240476
"RAF1",9655.48805925995,-0.624063377930621,0.175772804013501,-3.5503978071755,0.000384649439387812,0.00117583731885286
"DNAJB5",591.33691675873,-0.749906422253044,0.24403735599331,-3.0729165180498,0.00211977779649665,0.00545072541318481
"EXOSC5",293.957559591472,-0.662834670518521,0.298713995468308,-2.21896088088997,0.0264893860145895,0.0499364434392118
"LIME1",138.247570004044,-0.979941551715297,0.405124452045671,-2.41886547890924,0.0155689966075093,0.031597870841069
"ARPC5L",922.760625385491,-1.93991542063824,0.228811916249452,-8.47820975601348,2.28685407158154e-17,7.11211616261858e-16
"SNORC",277.106872185191,-1.87073812066083,0.325967526833624,-5.73903216321196,9.52191370698367e-09,7.46220001254197e-08
"CCDC130",1573.50452367164,-1.52449890343739,0.238765594533196,-6.38491867481116,1.71488580180074e-10,1.79191161853944e-09
"FAM57A",1286.26855249959,-0.56979047747445,0.202359096863039,-2.81573937770684,0.00486651273658334,0.0113931155944814
"DRAP1",1093.26419144804,-1.40522475278399,0.254136734191813,-5.52940430769593,3.21320017481169e-08,2.2806966766321e-07
"TROAP",1206.71464146896,-1.09262069680632,0.301056259317755,-3.62929074878691,0.000284200999256512,0.000897085312289919
"TMED2",14597.6611558327,-0.478812029444671,0.19469445116489,-2.4592998238001,0.0139208305408155,0.0286364447922293
"ZNF317",3680.45583407092,-1.75845094851625,0.203066578176348,-8.65947988245104,4.73921670366897e-18,1.59113815352159e-16
"MFN2",7736.22919948267,-0.690103023756274,0.183204819885593,-3.7668387992588,0.000165327674456368,0.00054914065675249
"NOCT",2024.59838612941,-2.7681684559136,0.226827923668202,-12.2038257510253,2.96555907066404e-34,5.74540608149306e-32
"KCNT2",758.314713246482,-1.75596865670436,0.27067692284751,-6.48732310915773,8.73748287000055e-11,9.6055416332713e-10
"SMC2",3664.74750678086,-0.93274198280169,0.187606774586728,-4.97179264904689,6.63366336929777e-07,3.68925335051111e-06
"KLHDC4",370.901528540267,-0.758988006031826,0.305930145312502,-2.48091931331754,0.0131044032710146,0.0272032035582031
"CD82",494.85770068259,-1.29910565329991,0.29145391203069,-4.4573278987695,8.29876143864767e-06,3.64725781636066e-05
"MED12",5312.08600900671,-0.547328398072267,0.177864690480537,-3.07721783673618,0.0020894254745818,0.00537852978841379
"LMTK2",6029.80953098004,-0.401581753260853,0.172139738472607,-2.33288232469783,0.0196543223031422,0.0386159236872043
"C1orf109",833.63542424708,-0.756913117152979,0.226875059975714,-3.33625528180138,0.00084915150961392,0.00238144461645556
"SPINDOC",1391.5318538667,-1.56148217033469,0.224691474909552,-6.94945000010907,3.6671306248365e-12,5.2089122264805e-11
"MYH3",177.165466264566,-2.09695573467355,0.406233242894389,-5.16195011450283,2.44390425245941e-07,1.46833047562609e-06
"ESF1",1912.56715537461,-1.21737573456363,0.192593498731676,-6.32095965118583,2.59943899013953e-10,2.64145915610223e-09
"POLR2E",1417.99718958946,-0.535133959316716,0.210803526311734,-2.53854367941343,0.0111314906573786,0.0235334448280681
"WDR12",1381.21968850787,-0.71412049083733,0.199920410815115,-3.57202392655016,0.000354233038745729,0.00109132587380006
"REPIN1",6081.33611023389,-0.798541191330187,0.177588963877266,-4.4965699100653,6.90584799827179e-06,3.08907311292869e-05
