"","x"
"PLD2",1.00783492402826
"GAA",1.21869945591856
"CDC25B",1.72859049655513
"B4GALT1",1.20141050299825
"NPAS3",1.09103942259849
"ITFG1",0.785610518265825
"MAGED2",0.813080168685248
"FMNL3",0.720883448919629
"KDM7A",-1.33381274501632
"NXPE3",1.26710214070559
"SHROOM3",1.14544213969601
"CRYZ",1.37204425391363
"NCOA4",-0.929954598105987
"PPM1G",-1.25999853808779
"SLC2A8",-1.11362183980374
"AP3S1",1.26899052442351
"EME1",-1.49341578144543
"ZNF689",-1.13999570102223
"DEDD2",-1.16887923765833
"SCRG1",2.3705207077373
"NLGN1",1.39886860582832
"PCDHGA12",1.55426059826232
"GLCE",1.60876475080631
"RAB27A",1.05142627287823
"CCDC86",-1.54766116266721
"ZC3H7B",-1.42847458761411
"CBLL1",-1.3615491040412
"KLF5",-2.17249929928908
"ATG4B",-0.9450635478092
"SALL2",1.23272925369464
"ABCA5",0.795995831456666
"AVL9",-1.00860557155482
"ABHD15",1.03104651107737
"ZBTB21",-1.38867940585393
"SRRM1",-1.31204041875345
"HAT1",-0.774083307503888
"LONRF1",0.726000601076247
"CALU",1.47325533013185
"VRK1",-1.42150953366192
"NICN1",1.24373965934607
"ITPRIP",-1.01965894005189
"MED15",-0.860341681542112
"ARHGEF2",-1.01484402671263
"BRAF",-0.669885850814049
"NOTCH3",-0.840379530261391
"GSTK1",1.28049956344427
"RALGDS",1.16727923441404
"TMEM200C",-0.864528192899867
"PMP22",1.78945560045179
"MRPL58",-1.27190062767193
"PPM1M",1.01959457025523
"OSGIN2",-1.97156690485636
"LDOC1",1.43191341379004
"ECT2",-1.19902373814728
"ILF3",-0.845091015512323
"MTOR",-1.26057243817261
"PLEKHH2",1.41597827105482
"ECM1",1.2516023203876
"PRMT3",-0.905938632638186
"EPC2",-0.787839727085617
"CBX7",1.28021285133175
"L3HYPDH",1.19105502878302
"SRBD1",-1.33488936768576
"RSU1",0.81815199444262
"CBFB",1.1617151225409
"ANKRD28",1.08061602642027
"CSF1",-0.748565026784442
"SEL1L",0.838218996312016
"ZNF829",-0.875761189169421
"BBS4",0.994345531222157
"GEN1",-1.15842166962607
"HIST1H2BF",-1.32767988294159
"KLF7",-0.807928311892335
"RNF111",-0.93315524475306
"NHSL2",1.22190916294597
"HIST1H3F",-2.50304657866044
"CENPH",-1.55307874630442
"ZNF430",-1.0057216811367
"TCTN2",1.18756888360886
"VAMP3",0.812959980009015
"SLC9A8",-1.49829024839937
"MAP9",0.87365430554088
"APLP2",1.29735387766018
"CBLB",1.52389611675139
"MMP11",2.90980402252298
"FXR2",-1.47333169258595
"ITGB4",1.69821074312341
"MMGT1",0.991075247701301
"RSRP1",0.761843387995903
"RHOJ",1.67543799078381
"ODF2L",0.873803615599651
"TPP1",1.22278399668244
"UBXN1",-1.21120611508878
"PAPOLG",-0.809851887425908
"TNFRSF12A",-3.36944146096224
"HPS3",0.924958291824594
"THOC6",-1.47309266818229
"KDM6B",-2.51450429515336
"DACT3",1.31265455584742
"POLI",0.943928014328944
"GAS2L3",-0.853222736130944
"GPR155",1.78906194523937
"PWWP2B",-2.0360242971068
"BTN3A3",1.80119012921743
"SF3A2",-0.928833622804396
"CEP57",-0.791160519136684
"UBA2",-0.961560631179154
"CELSR3",-1.83648615202109
"TUBA1A",1.58881862544924
"USP19",-1.03473337383086
"PRSS12",1.01080183379542
"SARS",-0.985338137352027
"RBL2",1.1550036474111
"SMC1A",-0.776451411645504
"SSH3",0.906935932685155
"FUT10",1.43250564172502
"TIMM17A",-0.939912230513863
"PNP",-1.48538604479064
"FREM2",1.8781844677092
"PIGM",0.901770783205523
"ERMP1",1.10548271074068
"PPP4R1",-0.645075302090208
"MEIS3",1.55982774705404
"NOVA2",2.25541645437763
"PPT1",1.33178332214483
"MSMO1",1.11255725823382
"PSMD2",-0.677737517489307
"DDX47",-0.671387406367455
"ACCS",2.06176890194751
"PTPN18",1.41869615841598
"SDC2",1.48747180756654
"BLM",-1.70796142939594
"HEMK1",1.06631719199526
"MOSPD3",1.52887774526125
"KCNJ14",-1.85467233151247
"HRH1",0.766777970584034
"VGF",-4.33483559115749
"ALDH7A1",1.11193804319195
"STMP1",1.29018822280345
"TMPPE",1.43636463265066
"SGCB",0.89080984875038
"ESYT2",0.713169398991982
"PLOD1",1.5240402273454
"ZCCHC24",1.78981623016602
"ZNF704",2.35738669813619
"RAB30",1.01277131094735
"MLC1",1.74270161687763
"ARPC5L",-1.93991542063824
"SNORC",-1.87073812066083
"HOXD8",1.64211975821636
"CCDC130",-1.52449890343739
"DRAP1",-1.40522475278399
"TROAP",-1.09262069680632
"ZNF317",-1.75845094851625
"MFN2",-0.690103023756274
"PCYOX1",1.84889462192809
"NOCT",-2.7681684559136
"KCNT2",-1.75596865670436
"SMC2",-0.93274198280169
"SPARC",1.64683518116186
"EHD2",1.46819549175253
"CD82",-1.29910565329991
"ACBD4",1.30949303213906
"BCKDHB",1.44983476604254
"FOXO3",0.870486015948225
"ISPD",1.46115687168886
"EMC10",1.47817102172013
"KIF5A",1.00425830385501
"ATP1B2",1.89634822078359
"SPINDOC",-1.56148217033469
"SPACA9",1.3123692404411
"KIAA1109",1.13912988762461
"MYH3",-2.09695573467355
"ALDOA",1.08940438108089
"NUMBL",0.942567793145778
"CBX1",0.703077123840287
"ESF1",-1.21737573456363
"REPIN1",-0.798541191330187
"TMEM154",1.9924194359447
"HIST1H2BK",-0.977064913959294
"HEXA",1.07457320956026
"HELQ",-0.915807772134166
"PIGN",1.26588951382169
"TMEM43",0.808305870679657
"CLDN1",-2.63808225177728
"PCDHB14",1.15996494792024
"IER5",-1.27721249866873
"GET4",-1.47236163980246
"PTPN1",-0.855155219856582
"PLXNA2",0.95004676985721
"STK16",-1.79200984846221
"APOBEC3B",-2.95338335673019
"SLC39A13",0.836639259418281
"ZNF273",-1.06168966160892
"TCOF1",-1.00834388658467
"SEC24D",0.904463048000898
"CEP95",-0.885358881847098
"DHX29",-1.10836188701186
"EIF3D",-1.10465132647643
"GLCCI1",1.33522018869624
"FSCN1",0.686798804782982
"PCSK7",-1.35787305089614
"ZNF865",-1.20566100369964
"IL6ST",-0.769535843525268
"NUP210L",-1.74524677469658
"TTYH2",1.46153933446479
"DSC2",1.36565872960809
"TIMM23B",-1.54968890779707
"EPC1",-1.29864524174297
"CHPF2",0.702194205722929
"AP3M1",0.887603621995542
"RLIM",-0.642988105676666
"GSTP1",0.731184439593433
"LRRC59",-0.809630968121847
"SERINC5",1.45057303885521
"PLA2G4C",-4.99300285678692
"TENM4",1.07341614385031
"JUP",1.2351192443969
"MMRN2",-2.40804869886476
"RASSF1",-2.47598380443043
"AKT1S1",-1.03189536001892
"ZNF442",-2.98764183311948
"NPM1",-0.879544387918908
"UHRF1",-2.12784730401829
"GLRX3",-0.943967638234372
"ZNF57",-1.54039385689032
"HNRNPC",-0.82498876827809
"XYLT1",1.62288571559583
"RNF130",1.00138129432445
"PLEKHA5",0.955080649681942
"MAGEE1",1.56042881804464
"NPR2",0.91970057368138
"RIPOR2",1.4156922575994
"HIST1H3C",-2.03681145833818
"ICK",1.28138597746253
"PYDC5",2.51934407325167
"DKC1",-0.940469791543817
"DMWD",-1.67226578613287
"TMEM11",-0.875500846148491
"UBALD1",-1.07858798682108
"CDC5L",-0.698230646598032
"ZNF788P",-1.27740408816351
"KIAA0930",1.18650594140874
"RHOG",-0.900258351198126
"SLC43A2",-1.79958592066364
"STT3A",0.733482789891942
"AFF1",1.05171469455735
"KMT2D",-0.864854846704894
"SCARB2",0.772456434484017
"GORAB",-1.7230322701847
"GNS",1.01848746926046
"CTF1",2.00438903885438
"TGIF2",-1.86880636955191
"LAMP2",2.39051757700627
"PRMT2",1.39867686285841
"FBLN1",1.2715932459311
"ZNF24",-0.94940807728367
"SLC9A9",2.66852552921243
"FBN1",0.962425153834997
"GAN",-0.747592929663101
"DDX27",-0.789361849097788
"ARHGAP9",-2.4015427360032
"ZFPM1",-1.19925673001559
"ALYREF",-1.31185399157017
"CSRNP1",-4.12281786720911
"KREMEN1",1.01257487456256
"CD248",2.66044575073327
"YAF2",-1.59338091912341
"ZKSCAN2",-0.909672050700031
"MBD5",1.08669684439425
"SH3BP4",-1.00091031290517
"CARS",-1.62907258506777
"NSUN5",-1.34539100966693
"SPAG1",-1.4483095508612
"TMTC3",0.802796435930797
"SLC25A23",1.99842526759021
"WDR74",-1.24363716123852
"CREG1",2.06485628164863
"AMOT",1.05499300907665
"ZNF136",-0.931784016461993
"CSRNP2",-0.854142799005851
"MAN1A2",0.844115776220632
"SCYL2",-0.751962678113567
"RBM22",-1.09183818128057
"LSG1",-1.30867641421142
"CCDC91",-0.93609770929928
"HLF",-4.36405688164424
"ZNF589",1.4210837081536
"PCDHGB2",1.9600921019646
"SH3D21",0.974774784174787
"BAG1",-1.49903194366128
"SH3YL1",1.48916511901135
"GTDC1",1.06932903201689
"ACSS3",1.16391949463022
